id,elderly_id,needs,time_prefs,urgency,created_at
CR264,E075,"Cleaning, Driving","Weekend AM, Weekend PM",High,2025-04-13 12:55:15
CR265,E075,"Transportation, Cleaning, Cooking, Medication","Weekend AM, Weekday AM",Medium,2025-04-13 12:56:00
CR266,E075,"Companionship, First Aid, Shopping, Cleaning","Weekend AM, Weekday PM",High,2025-04-13 12:56:39
CR267,E075,"First Aid, Companionship, Cooking, Cleaning","Weekday PM, Weekday AM",High,2025-04-13 12:55:45
CR268,E076,"Driving, Shopping","Weekday AM, Weekend PM",High,2025-04-13 12:56:40
CR269,E076,"Driving, Companionship","Weekday PM, Weekend AM",Low,2025-04-13 12:57:15
CR270,E076,"Cleaning, Driving","Weekday PM, Weekend AM",Medium,2025-04-13 12:53:30
CR271,E076,"Driving, Shopping, Medication","Weekend PM, Weekend AM",Medium,2025-04-13 12:56:42
CR272,E076,"Driving, Shopping","Weekend PM, Weekday AM",Low,2025-04-13 12:55:22
CR273,E077,"Shopping, Driving, First Aid, Companionship","Weekday PM, Weekday AM",Low,2025-04-13 12:56:09
CR274,E077,"Cleaning, Cooking, Transportation, Shopping","Weekend AM, Weekday PM",Medium,2025-04-13 12:56:42
CR275,E077,"Cooking, Cleaning, Companionship","Weekend PM, Weekend AM",Low,2025-04-13 12:56:31
CR276,E077,"Companionship, Cleaning, Medication, Driving","Weekday AM, Weekend PM",Medium,2025-04-13 12:53:30
CR277,E078,"First Aid, Driving, Medication","Weekday AM, Weekend AM",Low,2025-04-13 12:57:21
CR278,E078,"First Aid, Transportation","Weekend PM, Weekend AM",Medium,2025-04-13 12:52:36
CR279,E078,"Cooking, Shopping, Driving, First Aid","Weekday PM, Weekend AM",High,2025-04-13 12:53:36
CR280,E078,"Shopping, Driving, Transportation","Weekend AM, Weekend PM",High,2025-04-13 12:56:56
CR281,E078,"Driving, Cooking, Cleaning, First Aid","Weekday PM, Weekend AM",Low,2025-04-13 12:56:06
CR282,E079,"Shopping, Cooking","Weekday PM, Weekend AM",Medium,2025-04-13 12:51:38
CR283,E079,"Medication, Companionship, First Aid, Cooking","Weekday AM, Weekend AM",High,2025-04-13 12:55:26
CR284,E079,"Driving, First Aid, Companionship","Weekday PM, Weekday AM",Medium,2025-04-13 12:51:38
CR285,E079,"Transportation, First Aid, Cleaning, Driving","Weekend AM, Weekday PM",Medium,2025-04-13 12:55:24
CR286,E079,"Medication, Shopping","Weekend PM, Weekday PM",Low,2025-04-13 12:53:05
CR287,E080,"Shopping, Transportation","Weekday PM, Weekend AM",Low,2025-04-13 12:56:25
CR288,E080,"Shopping, Cooking","Weekend PM, Weekend AM",High,2025-04-13 12:55:53
CR289,E080,"Transportation, Cleaning","Weekend AM, Weekday AM",Low,2025-04-13 12:51:51
CR290,E080,"Shopping, Companionship","Weekend AM, Weekday PM",Low,2025-04-13 12:54:13
CR291,E080,"Cooking, First Aid","Weekend PM, Weekday PM",High,2025-04-13 12:54:37
CR292,E081,"Driving, First Aid","Weekend AM, Weekend PM",Low,2025-04-13 12:54:38
CR293,E081,"Medication, Transportation, Companionship, Driving","Weekend AM, Weekday PM",Medium,2025-04-13 12:56:13
CR294,E081,"Companionship, Shopping","Weekday PM, Weekend AM",Medium,2025-04-13 12:54:00
CR295,E081,"Cleaning, First Aid","Weekend AM, Weekday PM",Medium,2025-04-13 12:56:23
CR296,E081,"Cooking, First Aid","Weekend PM, Weekday PM",Medium,2025-04-13 12:53:20
CR297,E082,"Cooking, Cleaning, Transportation","Weekday PM, Weekend AM",High,2025-04-13 12:53:05
CR298,E082,"Companionship, First Aid, Driving","Weekday PM, Weekend PM",Low,2025-04-13 12:53:36
CR299,E082,"Medication, Transportation, Shopping","Weekend PM, Weekday PM",Medium,2025-04-13 12:56:10
CR300,E082,"Transportation, First Aid, Medication","Weekday PM, Weekend PM",Medium,2025-04-13 12:52:42
CR301,E083,"Medication, Cooking, Companionship","Weekend AM, Weekday PM",High,2025-04-13 12:53:04
CR302,E083,"First Aid, Shopping, Cooking, Cleaning","Weekend PM, Weekday PM",Medium,2025-04-13 12:52:05
CR303,E083,"Cooking, Shopping, First Aid","Weekday PM, Weekend AM",High,2025-04-13 12:51:51
CR304,E084,"First Aid, Medication, Cooking, Companionship","Weekend AM, Weekend PM",Low,2025-04-13 12:53:50
CR305,E084,"First Aid, Cooking, Medication","Weekend AM, Weekday AM",Medium,2025-04-13 12:54:22
CR306,E085,"Transportation, First Aid, Companionship, Driving","Weekend PM, Weekend AM",Medium,2025-04-13 12:57:03
CR307,E085,"Transportation, Shopping, First Aid, Companionship","Weekday AM, Weekday PM",High,2025-04-13 12:57:21
CR308,E085,"Cooking, Driving, First Aid, Cleaning","Weekday PM, Weekend AM",High,2025-04-13 12:53:18
CR309,E086,"Transportation, First Aid, Cleaning, Companionship","Weekday AM, Weekend PM",Low,2025-04-13 12:57:08
CR310,E086,"Companionship, Shopping, Medication","Weekday PM, Weekend PM",Medium,2025-04-13 12:55:58
CR311,E087,"Cleaning, First Aid, Driving","Weekend PM, Weekday AM",Medium,2025-04-13 12:52:17
CR312,E087,"Cooking, Driving, Medication","Weekday PM, Weekend PM",Medium,2025-04-13 12:52:12
CR313,E087,"First Aid, Transportation, Cooking","Weekend PM, Weekday PM",Medium,2025-04-13 12:55:45
CR314,E087,"First Aid, Medication","Weekend PM, Weekday PM",Low,2025-04-13 12:51:26
CR315,E087,"Driving, Transportation, Medication","Weekday AM, Weekend PM",Medium,2025-04-13 12:54:17
CR316,E088,"Cleaning, Medication, Cooking, Shopping","Weekday PM, Weekend AM",Low,2025-04-13 12:54:12
CR317,E088,"Transportation, Companionship, Cooking","Weekend PM, Weekend AM",Low,2025-04-13 12:57:00
CR318,E089,"Transportation, Companionship, Driving, Shopping","Weekday PM, Weekend PM",High,2025-04-13 12:52:00
CR319,E089,"Transportation, Driving, Medication","Weekday PM, Weekday AM",Medium,2025-04-13 12:53:11
CR320,E089,"Cooking, Shopping, Driving, Transportation","Weekday PM, Weekend PM",Medium,2025-04-13 12:51:46
CR321,E090,"Cooking, Cleaning, Medication","Weekend PM, Weekend AM",High,2025-04-13 12:53:55
CR322,E090,"Transportation, Shopping, Companionship","Weekday AM, Weekday PM",Medium,2025-04-13 12:52:58
CR323,E090,"Cleaning, Transportation, Medication","Weekend AM, Weekend PM",High,2025-04-13 12:54:13
CR324,E091,"Cleaning, First Aid, Driving, Cooking","Weekend AM, Weekday AM",Low,2025-04-13 12:52:08
CR325,E091,"Cleaning, Shopping, Companionship","Weekend PM, Weekend AM",Low,2025-04-13 12:57:14
CR326,E092,"Cleaning, Companionship, Medication","Weekday PM, Weekend AM",Low,2025-04-13 12:54:45
CR327,E092,"Shopping, Cooking, Transportation","Weekend AM, Weekday PM",High,2025-04-13 12:55:05
CR328,E092,"Medication, Driving","Weekend PM, Weekday AM",Low,2025-04-13 12:52:12
CR329,E092,"First Aid, Companionship, Medication","Weekend PM, Weekday PM",High,2025-04-13 12:52:25
CR330,E092,"First Aid, Cooking, Driving","Weekday AM, Weekend PM",Medium,2025-04-13 12:55:23
CR331,E093,"Companionship, Shopping, Cleaning","Weekday PM, Weekend PM",High,2025-04-13 12:51:50
CR332,E093,"First Aid, Shopping, Transportation, Driving","Weekday AM, Weekday PM",High,2025-04-13 12:56:39
CR333,E094,"Driving, Transportation, Medication, Companionship","Weekday PM, Weekend PM",Low,2025-04-13 12:52:32
CR334,E094,"Companionship, Cleaning, Driving, First Aid","Weekend AM, Weekday PM",Low,2025-04-13 12:52:21
CR335,E094,"Cooking, Transportation, First Aid","Weekday PM, Weekend AM",High,2025-04-13 12:55:02
CR336,E094,"Medication, Transportation, First Aid, Shopping","Weekend PM, Weekday AM",High,2025-04-13 12:56:30
CR337,E095,"Companionship, Transportation","Weekday AM, Weekend AM",Medium,2025-04-13 12:51:36
CR338,E095,"Shopping, First Aid, Transportation, Cooking","Weekend AM, Weekend PM",Medium,2025-04-13 12:55:51
CR339,E095,"Shopping, Transportation, First Aid","Weekday AM, Weekend PM",Medium,2025-04-13 12:54:21
CR340,E096,"Cleaning, Medication, Cooking","Weekday PM, Weekday AM",High,2025-04-13 12:56:01
CR341,E096,"Companionship, Transportation, Medication","Weekend PM, Weekday PM",Low,2025-04-13 12:56:51
CR342,E097,"Transportation, Companionship, First Aid, Driving","Weekday AM, Weekday PM",High,2025-04-13 12:56:53
CR343,E097,"Shopping, Medication, Cleaning, Companionship","Weekend PM, Weekday PM",High,2025-04-13 12:57:13
CR344,E097,"Cooking, Medication","Weekend PM, Weekend AM",High,2025-04-13 12:57:03
CR345,E097,"Medication, Transportation, Driving, Shopping","Weekend PM, Weekday AM",Medium,2025-04-13 12:57:07
CR346,E098,"Shopping, Cleaning, Transportation","Weekend AM, Weekend PM",High,2025-04-13 12:57:17
CR347,E098,"First Aid, Transportation","Weekend AM, Weekend PM",Low,2025-04-13 12:54:53
CR348,E098,"Cooking, Medication","Weekend PM, Weekday AM",Low,2025-04-13 12:53:28
CR349,E099,"First Aid, Driving, Companionship","Weekday PM, Weekend AM",Low,2025-04-13 12:56:51
CR350,E099,"Shopping, Cooking, Cleaning, Driving","Weekend AM, Weekday PM",Low,2025-04-13 12:52:18
CR351,E099,"Cleaning, Driving, Companionship","Weekend AM, Weekend PM",High,2025-04-13 12:53:49
CR352,E100,"Cooking, Medication, Driving","Weekday AM, Weekend PM",Medium,2025-04-13 12:56:07
CR353,E100,"Cleaning, Shopping","Weekday PM, Weekend AM",High,2025-04-13 12:53:56
CR354,E100,"Driving, First Aid, Medication","Weekend AM, Weekday AM",Medium,2025-04-13 12:53:45
