"cluster_id","cluster_type","elderly_id","volunteer_id"
930,"Urban Grocery",561,85
931,"Urban Grocery",652,764
932,"Urban Grocery",168,463
933,"Rural Transportation",534,255
934,"Urban Grocery",949,94
935,"Rural Transportation",351,535
936,"Urban Grocery",596,486
937,"Urban Grocery",875,988
938,"Urban Grocery",918,426
939,"Rural Transportation",99,685
940,"Rural Transportation",109,91
941,"Rural Transportation",873,329
942,"Urban Grocery",402,91
943,"Rural Transportation",163,720
944,"Rural Transportation",8,705
945,"Urban Grocery",885,367
946,"Urban Grocery",531,947
947,"Rural Transportation",659,220
948,"Rural Transportation",677,677
949,"Rural Transportation",840,257
950,"Rural Transportation",795,104
951,"Rural Transportation",120,530
952,"Rural Transportation",320,391
953,"Urban Grocery",688,492
954,"Rural Transportation",839,206
955,"Rural Transportation",881,164
956,"Rural Transportation",748,270
957,"Rural Transportation",715,534
958,"Urban Grocery",385,233
959,"Urban Grocery",424,878
960,"Rural Transportation",363,453
961,"Urban Grocery",654,480
962,"Rural Transportation",44,592
963,"Urban Grocery",842,484
964,"Urban Grocery",693,452
965,"Rural Transportation",922,185
966,"Urban Grocery",719,904
967,"Urban Grocery",800,891
968,"Urban Grocery",462,417
969,"Urban Grocery",628,642
970,"Urban Grocery",243,486
971,"Urban Grocery",78,592
972,"Urban Grocery",626,696
973,"Rural Transportation",988,591
974,"Urban Grocery",853,294
975,"Urban Grocery",897,662
976,"Rural Transportation",220,446
977,"Urban Grocery",600,76
978,"Rural Transportation",361,826
979,"Rural Transportation",554,596
980,"Rural Transportation",449,744
981,"Rural Transportation",719,973
982,"Rural Transportation",59,659
983,"Urban Grocery",340,385
984,"Rural Transportation",899,810
985,"Urban Grocery",860,43
986,"Urban Grocery",389,147
987,"Rural Transportation",264,682
988,"Rural Transportation",156,214
989,"Urban Grocery",512,314
990,"Rural Transportation",644,423
991,"Rural Transportation",886,818
992,"Rural Transportation",290,435
993,"Rural Transportation",675,187
994,"Rural Transportation",94,163
995,"Urban Grocery",811,795
996,"Rural Transportation",637,891
997,"Rural Transportation",502,12
998,"Rural Transportation",79,504
999,"Rural Transportation",437,437
1000,"Rural Transportation",106,374
